Date,Ticker,Price,Sentiment_Status,Tech_Signal,Final_Verdict,Result
2025-12-03 00:35,TATAMOTORS.NS,363.80,POSITIVE 🟢,NEUTRAL (Oversold - Watch for Reversal),HOLD / WAIT,PENDING
2025-12-03 00:36,AIRINDIA,0.00,NEGATIVE 🔴,UNKNOWN (Insufficient Data),HOLD / WAIT,PENDING
2025-12-03 12:30,DELL.NS,0.00,POSITIVE 🟢,UNKNOWN (Insufficient Data),HOLD / WAIT,PENDING
2025-12-03 12:33,TATAMOTORS.NS,361.75,POSITIVE 🟢,NEUTRAL (Oversold - Watch for Reversal),HOLD / WAIT,PENDING
2025-12-03 14:51,TATAMOTORS.NS,361.75,POSITIVE 🟢,NEUTRAL (Oversold - Watch for Reversal),HOLD / WAIT,PENDING
2025-12-03 14:52,HDFCBANK,0.00,NEGATIVE 🔴,UNKNOWN (Insufficient Data),HOLD / WAIT,PENDING
2025-12-03 14:53,TSLA,429.24,NEUTRAL ⚪,BEARISH (Downtrend),HOLD / WAIT,PENDING
2025-12-03 14:55,ANANTRAJ,0.00,NEUTRAL ⚪,UNKNOWN (Insufficient Data),HOLD / WAIT,PENDING
2025-12-03 14:56,SAGCEM,0.00,NEUTRAL ⚪,UNKNOWN (Insufficient Data),HOLD / WAIT,PENDING
2025-12-03 14:57,AIRINDIA,0.00,NEGATIVE 🔴,UNKNOWN (Insufficient Data),HOLD / WAIT,PENDING
2025-12-03 15:05,AIRINDIA,0.00,NEGATIVE 🔴,UNKNOWN (Insufficient Data),HOLD / WAIT,PENDING
2025-12-03 15:06,SAGCEM,0.00,POSITIVE 🟢,UNKNOWN (Insufficient Data),HOLD / WAIT,PENDING
2025-12-03 15:08,SAGCEM.NS,206.04,POSITIVE 🟢,NEUTRAL (Oversold - Watch for Reversal),HOLD / WAIT,PENDING
2025-12-03 15:08,AIRINDIA.NS,0.00,NEGATIVE 🔴,UNKNOWN (Insufficient Data),HOLD / WAIT,PENDING
2025-12-03 15:08,ANANTRAJ.NS,552.80,POSITIVE 🟢,BEARISH (Downtrend),⚠️ WATCH (Good News vs. Downtrend),PENDING
2025-12-03 15:10,RELIANCE.NS,1538.60,NEUTRAL ⚪,BULLISH (Uptrend),HOLD / WAIT,PENDING
2025-12-03 15:10,SAFARI.NS,2443.00,NEUTRAL ⚪,BULLISH (Uptrend),HOLD / WAIT,PENDING
2025-12-03 15:11,SAFARI.NS,2444.10,NEUTRAL ⚪,BULLISH (Uptrend),HOLD / WAIT,PENDING
2025-12-04 00:49,TATAMOTORS.NS,361.75,NEGATIVE 🔴,NEUTRAL (Oversold vs MA50),HOLD / WAIT,PENDING
